

        TIME                    RATE            ERROR
        s                       count/s         count/s
      1   0.000000000000000E+00   4.1288826E-01   2.3838115E-01
      2   6.000000000000000E+01   1.0391399E-01   5.9994768E-02
      3   1.200000000000000E+02   1.0401405E-01   6.0052536E-02
      4   1.800000000000000E+02   3.1205314E-01   1.0401771E-01
      5   2.400000000000000E+02   1.3883089E-01   6.9415443E-02
      6   3.000000000000000E+02   3.4613940E-01   1.0945889E-01
      7   3.600000000000000E+02   2.0765238E-01   8.4773727E-02
      8   4.200000000000000E+02   3.1234136E-01   1.0411379E-01
      9   4.800000000000000E+02   1.3857855E-01   6.9289275E-02
     10   5.400000000000000E+02   2.0815182E-01   8.4977627E-02
     11   6.000000000000000E+02   3.8128862E-01   1.1496285E-01
     12   6.600000000000000E+02   4.1548330E-01   1.1993969E-01
     13   7.200000000000000E+02   2.4313489E-01   9.1896348E-02
     14   7.800000000000000E+02   2.7777112E-01   9.8206922E-02
     15   8.400000000000000E+02   2.4250057E-01   9.1656603E-02
     16   9.000000000000000E+02   3.1163025E-01   1.0387675E-01
     17   9.600000000000000E+02   2.4251674E-01   9.1662712E-02
     18   1.020000000000000E+03   3.4662199E-01   1.0961150E-01
     19   1.080000000000000E+03   2.0800468E-01   8.4917553E-02
     20   1.140000000000000E+03   3.4612489E-01   1.0945430E-01
     21   1.200000000000000E+03   2.0764947E-01   8.4772542E-02
     22   1.260000000000000E+03   2.0725544E-01   8.4611684E-02
     23   1.320000000000000E+03   2.4180630E-01   9.1394186E-02
     24   1.380000000000000E+03   2.0740378E-01   8.4672242E-02
     25   1.440000000000000E+03   4.1672829E-01   1.2029909E-01
     26   1.500000000000000E+03   2.7709004E-01   9.7966120E-02
     27   1.560000000000000E+03   2.0705709E-01   8.4530704E-02
     28   1.620000000000000E+03   2.0809390E-01   8.4953979E-02
     29   1.680000000000000E+03   3.1134200E-01   1.0378066E-01
     30   1.740000000000000E+03   1.3844448E-01   6.9222242E-02
     31   1.800000000000000E+03   2.0833096E-01   8.5050762E-02
     32   1.860000000000000E+03   3.1276962E-01   1.0425654E-01
     33   1.920000000000000E+03   3.4742695E-01   1.0986605E-01
     34   1.980000000000000E+03   3.4826055E-01   1.1012965E-01
