

        TIME                    RATE            ERROR
        s                       count/s         count/s
      1   0.000000000000000E+00   0.0000000E+00   0.0000000E+00
      2   6.000000000000000E+01   0.0000000E+00   0.0000000E+00
      3   1.200000000000000E+02   2.2285998E-02   2.2285998E-02
      4   1.800000000000000E+02   2.2467613E-02   2.2467613E-02
      5   2.400000000000000E+02   0.0000000E+00   0.0000000E+00
      6   3.000000000000000E+02   0.0000000E+00   0.0000000E+00
      7   3.600000000000000E+02   2.4408076E-02   2.4408076E-02
      8   4.200000000000000E+02   0.0000000E+00   0.0000000E+00
      9   4.800000000000000E+02   0.0000000E+00   0.0000000E+00
     10   5.400000000000000E+02   5.2204333E-02   3.6914039E-02
     11   6.000000000000000E+02   0.0000000E+00   0.0000000E+00
     12   6.600000000000000E+02   2.2895468E-02   2.2895468E-02
     13   7.200000000000000E+02   0.0000000E+00   0.0000000E+00
     14   7.800000000000000E+02   2.2781910E-02   2.2781910E-02
     15   8.400000000000000E+02   0.0000000E+00   0.0000000E+00
     16   9.000000000000000E+02   2.1494703E-02   2.1494703E-02
     17   9.600000000000000E+02   0.0000000E+00   0.0000000E+00
     18   1.020000000000000E+03   0.0000000E+00   0.0000000E+00
     19   1.080000000000000E+03   8.5530221E-02   4.2765111E-02
     20   1.140000000000000E+03   0.0000000E+00   0.0000000E+00
     21   1.200000000000000E+03   2.0110618E-02   2.0110618E-02
     22   1.260000000000000E+03   2.5439642E-02   2.5439642E-02
     23   1.320000000000000E+03   4.7107954E-02   3.3310354E-02
     24   1.380000000000000E+03   0.0000000E+00   0.0000000E+00
     25   1.440000000000000E+03   2.2652552E-02   2.2652552E-02
     26   1.500000000000000E+03   4.3918107E-02   3.1054789E-02
     27   1.560000000000000E+03   0.0000000E+00   0.0000000E+00
     28   1.620000000000000E+03   5.2738205E-02   3.7291538E-02
     29   1.680000000000000E+03   2.3688506E-02   2.3688506E-02
     30   1.740000000000000E+03   0.0000000E+00   0.0000000E+00
     31   1.800000000000000E+03   5.6096878E-02   3.9666481E-02
     32   1.860000000000000E+03   2.9920800E-02   2.9920800E-02
     33   1.920000000000000E+03   0.0000000E+00   0.0000000E+00
     34   1.980000000000000E+03   0.0000000E+00   0.0000000E+00
     35   2.040000000000000E+03   0.0000000E+00   0.0000000E+00
     36   2.100000000000000E+03   3.1340044E-02   3.1340044E-02
     37   2.160000000000000E+03   3.0940142E-02   3.0940142E-02
     38   2.220000000000000E+03   7.3668867E-02   5.2091755E-02
     39   2.280000000000000E+03   0.0000000E+00   0.0000000E+00
     40   2.340000000000000E+03   6.5381557E-02   4.6231739E-02
     41   2.400000000000000E+03   2.9295107E-02   2.9295107E-02
     42   2.460000000000000E+03   0.0000000E+00   0.0000000E+00
     43   2.520000000000000E+03   0.0000000E+00   0.0000000E+00
     44   2.580000000000000E+03   3.7113927E-02   3.7113927E-02
     45   2.640000000000000E+03   0.0000000E+00   0.0000000E+00
     46   2.700000000000000E+03   0.0000000E+00   0.0000000E+00
     47   2.760000000000000E+03   0.0000000E+00   0.0000000E+00
     48   2.820000000000000E+03   0.0000000E+00   0.0000000E+00
     49   2.880000000000000E+03   0.0000000E+00   0.0000000E+00
